pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,fare_yellow,fare_turquoise,fare_luxury,selected_taxi_type,distance_of_ride
41.117552,28.807301,41.1205142,28.802464,13,14.95,22.1,2,1369
41.187024,28.677147,41.0382645,28.9370032,113.92,132.23,194.71,2,35134
40.9821527,28.72143939999999,41.0176174,28.64942289999999,32.5,37.68,55.51,1,8870
41.08846399999999,28.90881899999999,41.077144,28.8038318,48.09,55.79,82.18,0,13901
41.08383190000001,28.983262,41.0479706,28.9337879,30.65,35.54,52.35,0,8274
41.0071122,28.6574923,40.985397,28.90457,89.49,103.86,152.95,1,27254
41.00558090000001,29.1971333,40.9160168,29.1752412,60.36,70.04,103.15,0,17859
41.0317841,28.88397049999999,41.0396269,28.8954171,13,14.95,22.1,0,2189
41.0345168,28.8565956,41.0386172,28.881789,16.1,18.64,27.48,1,3581
40.98470289999999,28.9102568,41.06685299999999,28.9917479,48.71,56.51,83.24,0,14101
40.98470289999999,28.9102568,41.0069895,28.7747876,64.72,75.1,110.59,2,19263
41.1429436,29.1782018,41.02370679999999,29.0674129,80.62,93.56,137.78,0,24393
40.94979609999999,29.17394389999999,40.879326,29.258135,52.5,60.91,89.71,0,15323
41.03332899999999,29.10136,40.892826,29.2537328,91.86,106.62,157.01,0,28020
40.991687,29.02156699999999,40.892826,29.2537328,87.38,101.42,149.35,1,26575
40.991687,29.02156699999999,41.10435799999999,29.0779202,86.24,100.09,147.39,0,26205
41.032236,29.031938,40.9969057,29.1186272,38.48,44.63,65.74,0,10800
41.0182327,29.1274334,41.0009131,29.0545777,49.83,57.81,85.14,1,14461
40.919187,29.1639747,41.173816,29.088682,128.79,149.51,220.14,0,39933
41.06970719999999,28.9950702,40.90300699999999,29.145235,90.14,104.62,154.06,0,27464
41.0410851,29.0073477,40.8560399,29.1187097,98.69,114.55,168.67,0,30221
41.005558,28.951478,41.0102974,29.01760359999999,41.57,48.22,71.02,0,11797
41.005558,28.951478,41.0102974,29.01760359999999,41.57,48.22,71.02,2,11797
41.0189417,29.0576298,40.9758824,29.070668,28.12,32.6,48.03,1,7459
41.0420263,28.902333,40.99651590000001,29.02048909999999,100.93,117.15,172.51,0,30945
41.16229169999999,29.0474203,40.9653667,29.0728274,96.06,111.5,164.18,0,29374
41.16229169999999,29.0474203,41.008583,28.980175,86.68,100.6,148.14,2,26347
41.1066356,28.8722403,41.0115195,28.98337889999999,70.6,81.93,120.65,0,21160
40.9831984,28.8536084,41.0106848,28.9680681,50.35,58.41,86.03,0,14629
40.98105580000001,28.8736756,41.00838400000001,28.977878,51.84,60.15,88.59,1,15111
41.04128989999999,28.69405799999999,41.0256541,28.9741433,101.57,117.9,173.61,1,31152
